iter	Passed	Remaining
0	136	136159
1	137	68394
2	137	45773
3	138	34484
4	139	27719
5	140	23218
6	140	19984
7	141	17582
8	142	15699
9	143	14183
10	143	12941
11	144	11907
12	145	11024
13	145	10282
14	146	9628
15	147	9058
16	147	8555
17	148	8106
18	149	7708
19	149	7346
20	150	7028
21	151	6730
22	152	6459
23	152	6213
24	153	5985
25	154	5774
26	154	5576
27	155	5397
28	156	5232
29	156	5068
30	157	4921
31	158	4783
32	158	4652
33	159	4528
34	160	4414
35	160	4303
36	161	4197
37	161	4096
38	162	4000
39	163	3913
40	163	3828
41	164	3751
42	165	3677
43	165	3603
44	166	3534
45	167	3467
46	167	3403
47	168	3342
48	169	3287
49	170	3231
50	170	3176
51	171	3123
52	171	3073
53	172	3025
54	173	2977
55	173	2931
56	174	2887
57	175	2844
58	176	2812
59	177	2775
60	177	2738
61	178	2701
62	179	2664
63	179	2629
64	180	2596
65	181	2563
66	181	2532
67	183	2509
68	183	2477
69	185	2459
70	185	2433
71	186	2405
72	187	2379
73	188	2353
74	188	2323
75	189	2299
76	189	2276
77	190	2253
78	191	2231
79	192	2209
80	192	2187
81	193	2165
82	194	2144
83	194	2123
84	195	2102
85	195	2082
86	196	2063
87	197	2045
88	197	2025
89	198	2007
90	199	1990
91	199	1973
92	200	1956
93	201	1939
94	201	1923
95	202	1907
96	203	1892
97	203	1877
98	204	1861
99	205	1849
100	206	1834
101	206	1820
102	207	1805
103	207	1791
104	208	1778
105	209	1762
106	209	1750
107	210	1737
108	211	1725
109	211	1711
110	212	1699
111	212	1686
112	213	1675
113	214	1664
114	214	1652
115	215	1641
116	216	1630
117	216	1621
118	217	1610
119	218	1600
120	218	1588
121	219	1578
122	220	1568
123	220	1559
124	221	1550
125	222	1540
126	222	1531
127	223	1521
128	224	1512
129	224	1503
130	225	1495
131	225	1485
132	226	1476
133	227	1468
134	227	1459
135	228	1451
136	229	1443
137	229	1435
138	230	1427
139	231	1420
140	232	1414
141	232	1406
142	233	1399
143	234	1392
144	234	1385
145	235	1378
146	236	1370
147	236	1363
148	237	1356
149	238	1349
150	238	1342
151	239	1335
152	240	1329
153	240	1322
154	241	1316
155	241	1308
156	242	1301
157	243	1296
158	243	1289
159	244	1283
160	245	1277
161	245	1271
162	246	1265
163	247	1259
164	247	1253
165	248	1247
166	248	1241
167	249	1236
168	250	1230
169	250	1225
170	251	1219
171	252	1213
172	252	1208
173	253	1203
174	254	1197
175	254	1192
176	255	1187
177	255	1182
178	256	1177
179	257	1172
180	257	1167
181	258	1161
182	259	1157
183	259	1152
184	260	1147
185	261	1143
